search_term,page_number,link,pid,lid,title,price,color_type,size_type
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZZGB2VGF6&lid=LSTSHOH7Z9ZZGB2VGF6JFBK0G&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZRTF3MFDC&lid=LSTSHOH7Z9ZRTF3MFDCVQOFPV&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZBDNGZENH&lid=LSTSHOH7Z9ZBDNGZENHMGEWF4&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZQC2XXFMZ&lid=LSTSHOH7Z9ZQC2XXFMZCK5JJD&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZGG7RBZRY&lid=LSTSHOH7Z9ZGG7RBZRYQJKKWJ&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/thirsty-crow-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z9ZWSSTGEGG&lid=LSTSHOH7Z9ZWSSTGEGGH3SISU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOH7Z9ZWSSTGEGG.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOH7Z9ZWSSTGEGG,LSTSHOH7Z9ZWSSTGEGGH3SISU,"Thirsty Crow  Mojaris For Men  (White , 9)",₹777,N/A,https://www.flipkart.com/thirsty-crow-north-india-s-traditional-ethnic-sherwani-juti-wedding-wear-party-mojaris-men/p/itm5c95a7637c21b?pid=SHOH7Z5F98GTKSSV&lid=LSTSHOH7Z5F98GTKSSVXIMA09&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WPHHNWCQU&lid=LSTSHOGFZ6WPHHNWCQUGANDDY&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itmb28cbd1e28e7b?pid=SHOGFZ6WSEQWZYAV&lid=LSTSHOGFZ6WSEQWZYAV8BAPDJ&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WW4XQHRTF&lid=LSTSHOGFZ6WW4XQHRTFT79FDE&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm816d65a8a92cd?pid=SHOGFZ6WZV53FWQY&lid=LSTSHOGFZ6WZV53FWQY2M2JGI&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6VY7XEPRYK&lid=LSTSHOGFZ6VY7XEPRYKDIGOG9&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm9c782c8862d9c?pid=SHOGFZ6XHRPBA3JK&lid=LSTSHOGFZ6XHRPBA3JKAH5RLT&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WZYXGVZGR&lid=LSTSHOGFZ6WZYXGVZGRNAYRWB&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm0191f99270189?pid=SHOGFZ6WVYXFCG8U&lid=LSTSHOGFZ6WVYXFCG8UNBBL5E&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itmd009b33ae9b71?pid=SHOGFZ6XQFDVFBJF&lid=LSTSHOGFZ6XQFDVFBJFXFHMHD&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,N/A
shoes for men,1,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itm17340f48a151e?pid=SHOGFZ6WBF8EWWWB&lid=LSTSHOGFZ6WBF8EWWWB5HLANT&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGFZ6WBF8EWWWB.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGFZ6WBF8EWWWB,LSTSHOGFZ6WBF8EWWWB5HLANT,"Zixer  Shoes For Boys Dance shoes High Tops For Men  (Black, Orange, White , 10)",₹659,https://www.flipkart.com/zixer-shoes-boys-dance-high-tops-men/p/itma23e71d1621c8?pid=SHOGFZ6XHRTGNG8G&lid=LSTSHOGFZ6XHRTGNG8GU29UGH&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,N/A
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH,"bacca bucci  JUPITER Sneakers For Men  (Black , 10)","₹1,499",https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4W2XGRYCQC&lid=LSTSHOGCR4W2XGRYCQCMSSHJM&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH,"bacca bucci  JUPITER Sneakers For Men  (Black , 10)","₹1,499",https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmcc34f53722a96?pid=SHOGCR4WF6SENPD8&lid=LSTSHOGCR4WF6SENPD8A3WVPN&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4W6USHURRN&lid=LSTSHOGCR4W6USHURRNXOTWCK&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH,"bacca bucci  JUPITER Sneakers For Men  (Black , 10)","₹1,499",N/A,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WEQHGPYZ7&lid=LSTSHOGCR4WEQHGPYZ7BUHN30&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH,"bacca bucci  JUPITER Sneakers For Men  (Black , 10)","₹1,499",N/A,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFKEFWZSY&lid=LSTSHOGCR4WFKEFWZSYBITFVR&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGCR4WFBGA5TYF.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGCR4WFBGA5TYF,LSTSHOGCR4WFBGA5TYFUHUUMH,"bacca bucci  JUPITER Sneakers For Men  (Black , 10)","₹1,499",N/A,https://www.flipkart.com/bacca-bucci-jupiter-sneakers-men/p/itmc73bfd79acffc?pid=SHOGCR4WFBGA5TYF&lid=LSTSHOGCR4WFBGA5TYFUHUUMH&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK,"HRX by Hrithik Roshan  HRX-047 03 Walking Shoes For Men  (Grey , 10)","₹1,560",https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-01-walking-shoes-men/p/itm43acc54be4302?pid=SHOGPWCUADW2HHZK&lid=LSTSHOGPWCUADW2HHZKBFFLJD&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/hrx-hrithik-roshan-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9H525G3THE&lid=LSTSHOGPW9H525G3THE8CDZL8&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK,"HRX by Hrithik Roshan  HRX-047 03 Walking Shoes For Men  (Grey , 10)","₹1,560",https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPWCUXVTJKKQ7&lid=LSTSHOGPWCUXVTJKKQ7IC3DDY&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK,"HRX by Hrithik Roshan  HRX-047 03 Walking Shoes For Men  (Grey , 10)","₹1,560",https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-04-walking-shoes-men/p/itm69f7e6b70f381?pid=SHOGPWB3GF9ZX8YH&lid=LSTSHOGPWB3GF9ZX8YHVVONJU&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HF5XVKY2J&lid=LSTSHOGPW9HF5XVKY2JHY9AUQ&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK,"HRX by Hrithik Roshan  HRX-047 03 Walking Shoes For Men  (Grey , 10)","₹1,560",https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-02-walking-shoes-men/p/itmbcd7468f68515?pid=SHOGPW9HEYDZCCPK&lid=LSTSHOGPW9HEYDZCCPKJFANVL&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&st=color,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HWGJ9ZYTD&lid=LSTSHOGPW9HWGJ9ZYTDHBSRE0&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
shoes for men,1,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&iid=d7d6146a-7a6f-47df-8fff-850d85112dfb.SHOGPW9HDSXTBZZA.SEARCH&ssid=9xfjmi2x340000001736325186823&qH=9b802224ae37096b,SHOGPW9HDSXTBZZA,LSTSHOGPW9HDSXTBZZA0XAHVK,"HRX by Hrithik Roshan  HRX-047 03 Walking Shoes For Men  (Grey , 10)","₹1,560",N/A,https://www.flipkart.com/hrx-hrithik-roshan-hrx-047-03-walking-shoes-men/p/itme7531d96e28cf?pid=SHOGPW9HDSXTBZZA&lid=LSTSHOGPW9HDSXTBZZA0XAHVK&marketplace=FLIPKART&q=shoes%20for%20men&sattr[]=color&sattr[]=size&st=size
